"","date","demand","day","yearday"
"329",2004-11-24,729.78,"星期三","1124"
"330",2004-11-25,731.89,"星期四","1125"
"331",2004-11-26,727.78,"星期五","1126"
"332",2004-11-27,640.93,"星期六","1127"
"333",2004-11-28,577.69,"星期日","1128"
"334",2004-11-29,713.15,"星期一","1129"
"335",2004-11-30,740.45,"星期二","1130"
"336",2004-12-01,739.11,"星期三","1201"
"337",2004-12-02,737.01,"星期四","1202"
"338",2004-12-03,731.36,"星期五","1203"
"339",2004-12-04,629.29,"星期六","1204"
"340",2004-12-05,575.02,"星期日","1205"
"341",2004-12-06,587.89,"星期一","1206"
"342",2004-12-07,657.99,"星期二","1207"
"343",2004-12-08,606.07,"星期三","1208"
"344",2004-12-09,743.62,"星期四","1209"
"345",2004-12-10,748.63,"星期五","1210"
"346",2004-12-11,649.54,"星期六","1211"
"347",2004-12-12,590.18,"星期日","1212"
"348",2004-12-13,720.37,"星期一","1213"
"349",2004-12-14,748.64,"星期二","1214"
"350",2004-12-15,750.56,"星期三","1215"
"351",2004-12-16,746.11,"星期四","1216"
"352",2004-12-17,726.67,"星期五","1217"
"353",2004-12-18,633.13,"星期六","1218"
"354",2004-12-19,574.72,"星期日","1219"
"355",2004-12-20,700.23,"星期一","1220"
"356",2004-12-21,734.08,"星期二","1221"
"357",2004-12-22,736.67,"星期三","1222"
"358",2004-12-23,710.83,"星期四","1223"
"359",2004-12-24,614.49,"星期五","1224"
"360",2004-12-25,525.9,"星期六","1225"
"361",2004-12-26,569.92,"星期日","1226"
"362",2004-12-27,704.1,"星期一","1227"
"363",2004-12-28,726.47,"星期二","1228"
"364",2004-12-29,700.5,"星期三","1229"
"365",2004-12-30,684.88,"星期四","1230"
"366",2004-12-31,619.91,"星期五","1231"
"367",2005-01-01,535.8,"星期六","0101"
"368",2005-01-02,568.2,"星期日","0102"
"369",2005-01-03,718.79,"星期一","0103"
"370",2005-01-04,745.98,"星期二","0104"
"371",2005-01-05,729.36,"星期三","0105"
"372",2005-01-06,605.92,"星期四","0106"
"373",2005-01-07,682.53,"星期五","0107"
"374",2005-01-08,659.93,"星期六","0108"
"375",2005-01-09,625.66,"星期日","0109"
"376",2005-01-10,777.37,"星期一","0110"
"377",2005-01-11,807.81,"星期二","0111"
"378",2005-01-12,807.87,"星期三","0112"
"379",2005-01-13,803.53,"星期四","0113"
"380",2005-01-14,777.9,"星期五","0114"
"381",2005-01-15,677.24,"星期六","0115"
"382",2005-01-16,613.71,"星期日","0116"
"383",2005-01-17,759.16,"星期一","0117"
"384",2005-01-18,783.17,"星期二","0118"
"385",2005-01-19,777.43,"星期三","0119"
"386",2005-01-20,755.77,"星期四","0120"
"387",2005-01-21,743.2,"星期五","0121"
"388",2005-01-22,646.49,"星期六","0122"
"389",2005-01-23,596.88,"星期日","0123"
"390",2005-01-24,747.79,"星期一","0124"
"391",2005-01-25,800.78,"星期二","0125"
"392",2005-01-26,828.39,"星期三","0126"
"393",2005-01-27,850.13,"星期四","0127"
"394",2005-01-28,851.27,"星期五","0128"
"395",2005-01-29,730.16,"星期六","0129"
"396",2005-01-30,668.65,"星期日","0130"
"397",2005-01-31,811.14,"星期一","0131"
"398",2005-02-01,821.63,"星期二","0201"
"399",2005-02-02,804.76,"星期三","0202"
"400",2005-02-03,801.02,"星期四","0203"
"401",2005-02-04,789.87,"星期五","0204"
"402",2005-02-05,706.49,"星期六","0205"
"403",2005-02-06,648.65,"星期日","0206"
